id,value
0003revahxes,1
007rajeshp,1
00Reject,2
00X00X001,1
01101100A,1
01111010x,1
01jacky01,2
02Cents0,2
03_donny,1
0475shanehall,1
052176Rhona,1
054durin,2
057Princess,1
05_kemmie,1
05dd082f65984a2,1
0604Arb1320,1
07SuperNerd,1
08CBR1000,1
098437216A,2
0Calamity,1
0GWMTM0,1
0Iangardner2,1
0LuxinTenebris0,1
0ctavia,1
0fHearts,1
0ffTh3Cuff,1
0fluffyunicorn0,1
0fysh0,1
0ii_0ix,1
0kalexis,1
0kzdHHxwDFzVX8w,1
0livePeter,1
0mgitsr0sie,1
0neid_a,1
0rekiH0tar0,1
0sam_jha,1
0starkafterdark,1
0tastemyrainbow,1
0x00string,1
0x1112,1
0xB105F00D,1
0xfeedc0ffee,1
10000youtubes,1
1000LivesWales,1
1000OaksTraders,1
1001chicago,1
1002Loola,3
1005FreshRadio,1
100PercentCoton,1
100ProofWoman,1
100_keita,4
100cycle,1
1014digital,1
1019TheWave,1
101mystic,1
101stmonk3y,1
10223335,1
1024edv,1
102FMTheShip,1
103GBFRocks,1
104poet,1
1057BullAugusta,1
1057TheBull,1
1061BLI,1
1066bitcoingold,1
10Kittties,4
10MinDQ,1
10NewsAarons,1
10_nov,1
10browninstreet,1
10ofWands,1
10thDrWhooves,1
10zie_,1
1100yuan,1
1102Daydreaming,1
110sparkles,1
1190KEX,1
11XMaTriX,1
12345sw6789,8
1234bhama,1
123insurmeCom,1
128smith,1
12Blindheart,1
12FootballFan,3
12MileGeo,1
12NewsNow,1
12Ravenwolf,1
12Umuntu,1
12at1e0hm21,1
12decr,1
12saIamhamzy,1
1310kzrg,1
134340HOE,1
135_969,4
13LTC13,1
13QueenOka,1
13SciDave,1
13_Muur,1
13bookey,1
13dragonfly,1
140GeV,1
1418NOW,6
14America1776,1
14AndrewBond88,1
14TeamMocker,1
14bmb,2
14truth,1
150phrasalverbs,1
15MamiMoore18,1
1618UK,1
1689_Roosevelt,1
16Lokie,1
16softail,1
175AMENS,1
1776InfidelAims,1
17OK9,1
17Travis,1
17babkas,4
17pansies,1
1808Delaware,1
1812ann,2
1836golftour,1
1855Robert,1
185four,1
1888steven,3
18Arbind,1
18Leyther78,2
18Miguel10,1
18_elise,1
18andUnderMD,1
18garken,1
18peter88,1
18thCJamz,1
1913post,2
1916thenandnow,1
193_london07,1
1955Verma,1
1955gla,1
1955junnie,1
1960barbie,1
1961pattieann,1
1963Raoul,1
1967Kelleher,1
1968NHLtweets,1
1972Fantasy,1
1975livvy,1
1977Maverickk,1
1980sDiaries,1
1991dawg12,1
1996fpsari,1
1998967,1
19Calaban70,1
19Release91,1
1AmericanFirst,1
1Anson1,8
1Brackendale,1
1BuckAbove,1
1D5sosCrazy,1
1DeepMedia,2
1DsBaeisME,1
1FantasyG,1
1Fitcougarmom,1
1GettingMad,1
1GreenEvolution,1
1Gucifer,1
1HealingAndLove,1
1HerbalProducts,1
1InsanePerson,1
1JMRV,1
1JasonMitchell,1
1JeffreyHolland,1
1JohnBaron,1
1JohnnyDangle,1
1KYNEAYA,1
1KennyBania,1
1LEOOEL1,1
1LastRepublican,1
1Lifedirect,8
1MansStruggle,1
1MirandaAllen,1
1NEWSDAYcom,1
1NickMill,1
1PoliticalSport,1
1RHashimoto,1
1RachelAnn1,1
1Rae_XO,1
1Ruthx,1
1Sookie,1
1StealthMove,1
1SuperMomNoCape,1
1TDC,1
1Teddi,1
1ThrillaChilla,1
1Wampy,1
1Zdrave,1
1_800_AXE_Matty,1
1_DWJ,1
1_SteelMagnolia,2
1_ebooks,1
1_socalgirl1,1
1a,9
1averagecolorer,1
1baldchick,1
1barryatkinson,1
1blessedbee,2
1blondebroad,1
1cru,1
1derfulscents,2
1drop0,1
1hawaiiboy,1
1hh202020,1
1hhw200,1
1jewish_prince,8
1lghtmoon,1
1lildonnie,1
1loriking,1
1louyates,1
1man3rd,1
1mm3040,1
1n2by2023,1
1ndnridge,1
1ntp0t80,1
1oakcrafts,1
1ofSevenSisters,1
1oldgypsysoul,2
1opbOeShHjw8eSC,1
1patobello,1
1pmlunch,1
1qazwas,1
1seashell,1
1semesterleft,1
1simpletrader,1
1stChiroGilroy,1
1stEarlyEd,1
1stKiersten,1
1stShyRebel,1
1starshot,1
1stchatter,1
1susues,1
1totalprat,1
1twoandSophieUK,1
1up_ThrillHo,1
1vitalsplash,1
1wabbitt1,1
1way_dor,1
1webonline,4
1withu4ever,1
1ziaUlQamar,1
2007Bryant,1
2008Alrabei,1
2010BestGreen,1
2011Patriot1775,2
2017Veritas,2
2017_Kmichelle,1
2017whyjeebus,1
2018Angel4me,1
2018Healer,1
2018LookOut,1
2018nomore,1
2019Allstar,1
2020five,1
2020joejr,1
202FSUNole,1
2030Lab,2
204Park,1
204fitness,14
2050CyberSurfer,2
20SidedGeis,1
20_centurygirl,1
20_paph0nies,1
20carpenter,1
20thCFoxNZ,1
20thCentCrush,1
213Room,1
214stefi,1
215_china,1
21C4EH,1
21CenturyDental,1
21Jazzage,1
21NathyB,1
21WFMJNews,1
21prostate,1
21windchimes,2
221O996,1
221b_EHolmes,1
22795s,1
22Millzy,1
22Signs,1
22Ticks,1
22centuryblues,1
22melissa87,1
22theway,1
2351onthelist,1
23Syncope,2
23WIFR,3
23lupo23,1
23skidoozy,1
241294_net,1
247Heads,1
247Nursing,1
24HRMED,1
24hrTVMazi,1
24usatv,1
254Reds,1
25_male_nyc,1
25not45,1
26RJeremy,2
27MVoicesToday,1
27worthy,1
28DaysMore,1
28highsociety,1
2AWolf,1
2Bval,1
2Deepest,1
2DudeReviewCom,1
2Ferdi7,1
2GodBAllGlory1,1
2GuysPaddle,2
2HappyKittyz,1
2Ivey,4
2Latina,1
2MSchauer,1
2ManyOfUs,2
2Moms4MomsClub,1
2PProject,1
2Pats2,2
2PeachFuzzies,1
2ShadesofJoy,1
2TREW4U,2
2ToneTwo,1
2YearsOfMyLife,1
2_KO1D,1
2_Pi_r_not_2_Pi,1
2_buns,1
2bearsKahuna,6
2br,2
2briqhT,1
2cats11,1
2cents4change,1
2coffins4sleep,1
2danielle5,1
2dayfreedom4u,1
2gatorindo,1
2healthnuts,1
2judic,1
2kewlabs,2
2kings_g,1
2lani_mkwanazi,1
2meleng,1
2minmed,2
2ndAmendLawyer,1
2ndTierFan,1
2ndfor1st,1
2ndlast2rise,1
2ndy,1
2njerii,1
2p2TrollCat,2
2premshakya,15
2sdayaddams,1
2shealucky2,1
2tall2handle,1
2tallgamer,1
2thedorkside,1
2tiredforthis,1
2tukwok,3
2uwash,1
300FeetOut,1
305Mosquito,1
305Pirate,1
3077Beyer,1
30_Helens,2
30seconds,3
312O19,1
31jazz_,1
32InGodWeTrust,1
333333333433333,1
333_VILLARREAL,1
3396_595,1
33andme,1
34FryingpanA22,2
35Blackraven,1
360Buford,1
360DxNews,1
360Success,1
361Joules,1
36524fitcwest,2
365daysoffitnes,1
36ty5,1
37Cragg,1
3BS_Education,2
3DiMMUNE,4
3DownNation,3
3GPoppletonRoad,1
3GravyCats,1
3LtlBirdz,1
3NovicesChina,1
3NovicesEngland,4
3X04N0N,1
3Xy9kk7kbfXslfP,1
3YardScreamer,1
3_barge,1
3_dollarbill,3
3amepiphany,1
3dancingfeet,1
3fo_,1
3hryi,3
3inanarrowboat,2
3iron78,1
3l1ja4,1
3l_z0rr0,1
3levy5,1
3liza,1
3metamorph,1
3novices,1
3novicesSydney,3
3p1cW,1
3parenthesescat,1
3rdTuts,1
3rdrockhome,1
3score7,1
3sonshavei,2
3swisstigers,1
3timemvp,1
3wayboy,1
3widelife,1
3wombats,2
3worldmom,4
3x10tothe8,1
3x1PA,1
3x7_pilots,1
3zerosomething,1
400PoundGenious,1
4029Allison,1
4029Katie,1
4072b,1
40Ktoday,2
40Midlife,1
40SouthNews,1
40andreaforo,1
412RealRudeDood,4
420Pon3,1
420institute1,1
42889na,1
43Flags,1
43Silencer,1
450podcast,1
45Hates,1
45Quickdraw4,2
45_rhino,1
45gotFAT,1
45selah,1
46POTUS2020,1
46_still,1
47bacsi67,1
47gene,1
490Freak,2
49637866b83a42d,1
49bloodline,1
49unbesiegt,1
4AdsthePoet,3
4Alarm_,1
4AndyMack,1
4BabyPaws,1
4Bambi2,3
4CFlorida,2
4CherBear67,1
4ConsumerHealth,1
4DRStorm,1
4DsolutionsPDX,1
4Eva2hair,1
4EvaCashh,2
4France,1
4Gazpacho,2
4LOVofScience,1
4MDMedical,2
4PawShop,1
4Paws_4Rescue,1
4RealLife7,1
4SToday,1
4SocialDemUS,1
4WCowgirl,1
4WinnersUSA,2
4WxozUUfqmxaMjU,1
4ae078962e9848b,2
4afreeaustria,1
4amir_khan,3
4anyad,1
4biddnKnowledge,2
4cm4k1,1
4d_EeveeGirl,1
4ebolaorphans,1
4elissab,1
4elix,1
4everGodless,1
4everMrsShawna,1
4everRocked,1
4everTachyon,2
4evergreenmom,3
4eyesJohnny,1
